source,target,value
Problem Solving,CM2100,1
Problem Solving,CM1109,1
Problem Solving,CM1112,1
Problem Solving,CM1113,1
AI and Data Science,CM1102,1
Security,CM1110,1
Security,CM1111,1
Design,CM1108,1
Design,CM1114,1
Design,CM1105,1
Programing,CM1109,1
Programing,CM1112,1
Programing,CM1113,1
Programing,CM1114,1
Multi Platform Development,CM1109,1
Multi Platform Development,CM1114,1
CM1109,CM2100,1
CM1112,CM2100,1
CM1113,CM2100,1
CM2100,CM3109,1
CM1109,CM3109,1
CM1112,CM3109,1
CM1113,CM3109,1
CM1102,CM2101,1
CM1110,CM3109,1
CM1111,CM3109,1
CM1108,CM2104,1
CM1114,CM2104,1
CM1105,CM2104,1
CM1109,CM2100,1
CM1112,CM2100,1
CM1113,CM2100,1
CM1114,CM2100,1
CM1109,CM2104,1
CM1112,CM2104,1
CM1113,CM2104,1
CM1114,CM2104,1
CM1109,CM2110,1
CM1112,CM2110,1
CM1113,CM2110,1
CM1114,CM2110,1
CM1109,CM2104,1
CM1114,CM2104,1
CM1109,CM2110,1
CM1114,CM2110,1
CM2100,CM3113,1
CM3109,CM3113,1
CM2101,CM3111,1
CM2101,CM3038,1
CM3109,CM3104,1
CM3109,CM3105,1
CM2104,CM3110,1
CM2112,CM3130,1
CM2112,CM3132,1
CM2100,CM3110,1
CM2104,CM3110,1
CM2110,CM3110,1
CM2100,CM3113,1
CM2104,CM3113,1
CM2110,CM3113,1
CM2104,CM3110,1
CM2110,CM3110,1
CM3113,CM4105,1
CM3111,CM4105,1
CM3038,CM4105,1
CM3111,CM4107,1
CM3038,CM4107,1
CM3111,CM4125,1
CM3038,CM4125,1
CM3111,CM4126,1
CM3038,CM4126,1
CM3104,CM4105,1
CM3105,CM4105,1
CM3110,CM4105,1
CM3110,CM4125,1
CM3110,CM4110,1
CM3130,CM4105,1
CM3132,CM4105,1
CM3110,CM4105,1
CM3113,CM4105,1
CM3110,CM4106,1
CM3113,CM4106,1
CM3110,CM4025,1
CM3113,CM4025,1
CM3110,CM4105,1
CM3110,CM4025,1
